# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Feb  5 10:25:16 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc

1983,7,1983.542,1625.95,2.26,1634.93,1.45
1983,8,1983.625,1628.06,2.88,1635.49,1.39
1983,9,1983.708,1638.42,2.34,1636.10,1.32
1983,10,1983.792,1644.82,1.50,1636.76,1.24
1983,11,1983.875,1642.59,0.73,1637.50,1.16
1983,12,1983.958,1639.54,0.89,1638.30,1.08
1984,1,1984.042,1638.75,1.95,1639.20,0.98
1984,2,1984.125,1638.80,2.11,1640.11,0.90
1984,3,1984.208,1640.80,1.78,1641.07,0.83
1984,4,1984.292,1643.99,2.06,1642.13,0.76
1984,5,1984.375,1643.14,1.14,1643.21,0.71
1984,6,1984.458,1639.73,0.82,1644.33,0.66
1984,7,1984.542,1638.00,1.01,1645.46,0.63
1984,8,1984.625,1641.69,1.47,1646.61,0.61
1984,9,1984.708,1650.62,1.19,1647.75,0.59
1984,10,1984.792,1654.62,1.45,1648.87,0.59
1984,11,1984.875,1653.77,0.96,1649.98,0.58
1984,12,1984.958,1656.18,1.06,1651.07,0.58
1985,1,1985.042,1655.61,0.96,1652.16,0.58
1985,2,1985.125,1652.23,1.36,1653.17,0.58
1985,3,1985.208,1654.59,1.00,1654.17,0.58
1985,4,1985.292,1658.21,0.83,1655.18,0.59
1985,5,1985.375,1655.87,1.21,1656.19,0.59
1985,6,1985.458,1650.04,1.22,1657.19,0.59
1985,7,1985.542,1646.82,1.17,1658.18,0.60
1985,8,1985.625,1652.24,1.06,1659.20,0.61
1985,9,1985.708,1662.48,0.98,1660.21,0.61
1985,10,1985.792,1667.51,1.16,1661.22,0.62
1985,11,1985.875,1666.79,1.32,1662.25,0.64
1985,12,1985.958,1666.04,1.17,1663.28,0.65
1986,1,1986.042,1666.30,1.18,1664.34,0.67
1986,2,1986.125,1666.91,1.72,1665.36,0.69
1986,3,1986.208,1669.25,1.32,1666.38,0.70
1986,4,1986.292,1670.82,1.37,1667.45,0.72
1986,5,1986.375,1668.44,0.96,1668.52,0.75
1986,6,1986.458,1664.76,1.14,1669.60,0.77
1986,7,1986.542,1662.34,1.13,1670.68,0.78
1986,8,1986.625,1664.37,1.53,1671.78,0.80
1986,9,1986.708,1672.58,1.36,1672.87,0.81
1986,10,1986.792,1678.69,1.61,1673.96,0.81
1986,11,1986.875,1678.97,1.88,1675.06,0.80
1986,12,1986.958,1679.11,1.15,1676.14,0.79
1987,1,1987.042,1679.42,1.16,1677.24,0.76
1987,2,1987.125,1679.02,1.06,1678.28,0.73
1987,3,1987.208,1680.01,0.87,1679.30,0.70
1987,4,1987.292,1681.36,0.82,1680.34,0.66
1987,5,1987.375,1681.84,1.08,1681.36,0.62
1987,6,1987.458,1679.98,1.11,1682.35,0.57
1987,7,1987.542,1675.97,0.83,1683.32,0.53
1987,8,1987.625,1677.14,0.82,1684.27,0.49
1987,9,1987.708,1685.59,0.91,1685.17,0.46
1987,10,1987.792,1691.59,1.01,1686.05,0.44
1987,11,1987.875,1691.14,0.85,1686.90,0.43
1987,12,1987.958,1690.48,0.84,1687.73,0.43
1988,1,1988.042,1692.09,0.93,1688.58,0.46
1988,2,1988.125,1692.60,0.89,1689.36,0.48
1988,3,1988.208,1691.37,1.06,1690.15,0.51
1988,4,1988.292,1690.12,1.06,1690.99,0.54
1988,5,1988.375,1689.10,0.98,1691.82,0.58
1988,6,1988.458,1687.16,1.22,1692.68,0.61
1988,7,1988.542,1686.02,0.95,1693.56,0.63
1988,8,1988.625,1689.42,1.11,1694.48,0.65
1988,9,1988.708,1696.12,1.20,1695.42,0.66
1988,10,1988.792,1701.15,1.26,1696.37,0.66
1988,11,1988.875,1702.83,1.34,1697.35,0.66
1988,12,1988.958,1701.92,1.14,1698.35,0.65
1989,1,1989.042,1700.56,1.00,1699.37,0.64
1989,2,1989.125,1701.06,1.17,1700.35,0.63
1989,3,1989.208,1702.45,1.26,1701.33,0.62
1989,4,1989.292,1703.60,1.03,1702.34,0.60
1989,5,1989.375,1703.36,0.51,1703.34,0.59
1989,6,1989.458,1700.20,0.95,1704.32,0.57
1989,7,1989.542,1698.21,0.98,1705.28,0.56
1989,8,1989.625,1701.97,1.02,1706.23,0.55
1989,9,1989.708,1707.18,0.94,1707.13,0.55
1989,10,1989.792,1710.53,0.90,1708.01,0.55
1989,11,1989.875,1713.10,0.89,1708.84,0.56
1989,12,1989.958,1713.23,0.93,1709.65,0.57
1990,1,1990.042,1712.17,1.11,1710.43,0.59
1990,2,1990.125,1713.52,1.20,1711.14,0.61
1990,3,1990.208,1714.40,1.09,1711.83,0.63
1990,4,1990.292,1712.58,1.09,1712.51,0.65
1990,5,1990.375,1710.64,0.98,1713.17,0.66
1990,6,1990.458,1708.46,0.82,1713.83,0.68
1990,7,1990.542,1706.57,0.78,1714.48,0.69
1990,8,1990.625,1710.21,1.20,1715.16,0.70
1990,9,1990.708,1717.59,1.19,1715.85,0.70
1990,10,1990.792,1722.02,1.01,1716.58,0.70
1990,11,1990.875,1723.45,0.96,1717.36,0.70
1990,12,1990.958,1723.29,1.25,1718.21,0.70
1991,1,1991.042,1721.60,1.27,1719.15,0.70
1991,2,1991.125,1721.23,1.22,1720.11,0.70
1991,3,1991.208,1722.04,0.98,1721.16,0.70
1991,4,1991.292,1722.40,1.06,1722.31,0.70
1991,5,1991.375,1722.07,1.11,1723.54,0.70
1991,6,1991.458,1718.87,1.11,1724.81,0.70
1991,7,1991.542,1715.97,0.97,1726.11,0.70
1991,8,1991.625,1719.11,1.08,1727.45,0.70
1991,9,1991.708,1726.05,1.60,1728.74,0.70
1991,10,1991.792,1732.72,0.99,1729.98,0.69
1991,11,1991.875,1737.45,1.04,1731.15,0.68
1991,12,1991.958,1739.58,1.14,1732.20,0.67
1992,1,1992.042,1738.93,1.11,1733.16,0.65
1992,2,1992.125,1737.36,1.07,1733.92,0.63
1992,3,1992.208,1736.90,0.84,1734.54,0.61
1992,4,1992.292,1736.67,0.59,1735.03,0.59
1992,5,1992.375,1734.97,0.82,1735.36,0.58
1992,6,1992.458,1731.56,1.05,1735.56,0.56
