# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Mon Feb  5 03:55:21 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# The uncertainty in the global monthly mean is estimated using a
# a monte carlo technique that computes 200 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA GML cooperative air sampling network.  The
# reported uncertainty is the mean of the standard deviations
# for each monthly mean using this technique.  Please see Conway et al.,
# 1994, JGR, vol. 99, no. D11. for a complete discussion.  Units are ppm.
#
# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also be changed for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1979,1,1979.042,336.56,0.11,335.92,0.09
1979,2,1979.125,337.29,0.09,336.25,0.10
1979,3,1979.208,337.88,0.11,336.51,0.10
1979,4,1979.292,338.32,0.12,336.72,0.10
1979,5,1979.375,338.26,0.03,336.71,0.10
1979,6,1979.458,337.38,0.17,336.61,0.11
1979,7,1979.542,335.56,0.27,336.41,0.11
1979,8,1979.625,334.37,0.29,336.65,0.11
1979,9,1979.708,335.02,0.22,337.40,0.11
1979,10,1979.792,336.36,0.22,337.71,0.11
1979,11,1979.875,337.36,0.18,337.68,0.11
1979,12,1979.958,337.85,0.13,337.61,0.10
1980,1,1980.042,338.55,0.13,337.91,0.10
1980,2,1980.125,339.26,0.10,338.23,0.09
1980,3,1980.208,339.59,0.08,338.23,0.09
1980,4,1980.292,339.99,0.08,338.39,0.08
1980,5,1980.375,340.44,0.10,338.88,0.07
1980,6,1980.458,339.99,0.09,339.22,0.07
1980,7,1980.542,338.44,0.16,339.28,0.07
1980,8,1980.625,337.21,0.19,339.50,0.06
1980,9,1980.708,337.05,0.12,339.44,0.06
1980,10,1980.792,337.83,0.07,339.17,0.07
1980,11,1980.875,338.93,0.06,339.26,0.07
1980,12,1980.958,339.64,0.08,339.41,0.07
1981,1,1981.042,340.18,0.10,339.55,0.08
1981,2,1981.125,340.75,0.11,339.71,0.08
1981,3,1981.208,341.38,0.12,340.02,0.08
1981,4,1981.292,341.68,0.08,340.08,0.08
1981,5,1981.375,341.43,0.06,339.88,0.09
1981,6,1981.458,340.63,0.10,339.86,0.09
1981,7,1981.542,339.22,0.15,340.07,0.09
1981,8,1981.625,338.08,0.17,340.37,0.09
1981,9,1981.708,337.98,0.11,340.36,0.08
1981,10,1981.792,339.07,0.09,340.42,0.08
1981,11,1981.875,340.18,0.11,340.50,0.07
1981,12,1981.958,340.75,0.09,340.52,0.07
1982,1,1982.042,341.37,0.08,340.74,0.06
1982,2,1982.125,341.95,0.08,340.91,0.05
1982,3,1982.208,342.23,0.07,340.84,0.05
1982,4,1982.292,342.52,0.07,340.91,0.04
1982,5,1982.375,342.36,0.07,340.82,0.04
1982,6,1982.458,341.49,0.03,340.72,0.03
1982,7,1982.542,339.75,0.08,340.61,0.03
1982,8,1982.625,338.11,0.09,340.40,0.03
1982,9,1982.708,338.16,0.07,340.54,0.03
1982,10,1982.792,339.61,0.05,340.97,0.03
1982,11,1982.875,340.95,0.06,341.27,0.03
1982,12,1982.958,341.77,0.06,341.53,0.03
1983,1,1983.042,342.37,0.05,341.71,0.03
1983,2,1983.125,342.74,0.08,341.71,0.03
1983,3,1983.208,343.04,0.08,341.70,0.03
1983,4,1983.292,343.51,0.05,341.94,0.04
1983,5,1983.375,343.84,0.10,342.30,0.04
1983,6,1983.458,343.50,0.10,342.71,0.04
1983,7,1983.542,342.14,0.14,342.90,0.05
1983,8,1983.625,340.62,0.16,342.85,0.05
1983,9,1983.708,340.53,0.09,342.94,0.05
1983,10,1983.792,341.75,0.11,343.15,0.06
1983,11,1983.875,342.83,0.14,343.19,0.06
1983,12,1983.958,343.49,0.11,343.26,0.06
1984,1,1984.042,344.32,0.05,343.66,0.06
1984,2,1984.125,344.82,0.05,343.82,0.07
1984,3,1984.208,344.96,0.07,343.60,0.07
1984,4,1984.292,345.19,0.13,343.56,0.07
1984,5,1984.375,345.33,0.10,343.78,0.08
1984,6,1984.458,344.57,0.05,343.80,0.08
1984,7,1984.542,343.20,0.11,344.02,0.08
1984,8,1984.625,342.21,0.16,344.51,0.08
1984,9,1984.708,342.13,0.15,344.57,0.09
1984,10,1984.792,342.99,0.13,344.37,0.09
1984,11,1984.875,344.16,0.14,344.46,0.09
1984,12,1984.958,345.00,0.12,344.72,0.09
1985,1,1985.042,345.35,0.10,344.66,0.09
1985,2,1985.125,345.80,0.10,344.78,0.09
1985,3,1985.208,346.64,0.11,345.31,0.09
1985,4,1985.292,346.94,0.11,345.33,0.09
1985,5,1985.375,346.78,0.10,345.20,0.09
1985,6,1985.458,346.26,0.11,345.47,0.09
1985,7,1985.542,344.92,0.14,345.75,0.09
1985,8,1985.625,343.41,0.13,345.73,0.08
1985,9,1985.708,343.37,0.08,345.82,0.08
1985,10,1985.792,344.64,0.08,346.03,0.08
1985,11,1985.875,345.79,0.10,346.11,0.08
1985,12,1985.958,346.55,0.10,346.25,0.07
1986,1,1986.042,347.11,0.11,346.42,0.07
1986,2,1986.125,347.34,0.12,346.34,0.07
1986,3,1986.208,347.71,0.12,346.38,0.07
1986,4,1986.292,348.22,0.13,346.61,0.07
1986,5,1986.375,348.32,0.11,346.75,0.07
1986,6,1986.458,347.76,0.09,346.99,0.07
1986,7,1986.542,346.29,0.15,347.14,0.07
1986,8,1986.625,344.92,0.12,347.22,0.07
1986,9,1986.708,344.86,0.10,347.26,0.07
1986,10,1986.792,346.03,0.14,347.40,0.07
1986,11,1986.875,347.30,0.16,347.63,0.08
1986,12,1986.958,347.76,0.14,347.46,0.08
1987,1,1987.042,348.02,0.11,347.24,0.08
1987,2,1987.125,348.57,0.11,347.47,0.09
1987,3,1987.208,349.29,0.11,347.88,0.09
1987,4,1987.292,349.98,0.13,348.29,0.09
1987,5,1987.375,350.26,0.16,348.69,0.10
1987,6,1987.458,349.48,0.13,348.82,0.10
1987,7,1987.542,347.86,0.15,348.85,0.10
1987,8,1987.625,346.61,0.17,349.01,0.10
1987,9,1987.708,346.70,0.12,349.15,0.10
1987,10,1987.792,347.97,0.13,349.36,0.10
1987,11,1987.875,349.25,0.13,349.57,0.09
1987,12,1987.958,350.21,0.13,349.88,0.09
1988,1,1988.042,350.91,0.10,350.13,0.09
1988,2,1988.125,351.47,0.08,350.36,0.08
1988,3,1988.208,351.85,0.10,350.39,0.08
1988,4,1988.292,352.30,0.11,350.52,0.08
1988,5,1988.375,352.46,0.11,350.83,0.07
1988,6,1988.458,351.76,0.09,351.07,0.07
1988,7,1988.542,350.28,0.13,351.27,0.06
1988,8,1988.625,349.10,0.15,351.56,0.06
1988,9,1988.708,349.27,0.11,351.79,0.06
1988,10,1988.792,350.44,0.10,351.85,0.06
1988,11,1988.875,351.61,0.09,351.98,0.06
1988,12,1988.958,352.46,0.10,352.16,0.06
1989,1,1989.042,353.01,0.08,352.19,0.06
1989,2,1989.125,353.46,0.09,352.34,0.06
1989,3,1989.208,354.01,0.10,352.58,0.06
1989,4,1989.292,354.38,0.10,352.60,0.07
1989,5,1989.375,354.19,0.10,352.51,0.07
1989,6,1989.458,353.27,0.08,352.58,0.07
1989,7,1989.542,351.56,0.12,352.60,0.07
1989,8,1989.625,350.21,0.14,352.70,0.07
1989,9,1989.708,350.56,0.09,353.10,0.07
1989,10,1989.792,351.85,0.11,353.28,0.07
1989,11,1989.875,353.04,0.11,353.39,0.07
1989,12,1989.958,353.91,0.10,353.59,0.07
1990,1,1990.042,354.47,0.12,353.69,0.07
1990,2,1990.125,354.88,0.14,353.82,0.07
1990,3,1990.208,355.20,0.13,353.77,0.07
1990,4,1990.292,355.51,0.11,353.73,0.07
1990,5,1990.375,355.40,0.10,353.74,0.07
1990,6,1990.458,354.32,0.08,353.66,0.07
1990,7,1990.542,352.70,0.09,353.80,0.06
